Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Cincinnati/Dayton,Weekly,"2024-01-21 00:00:00",Conventional,1.035943170,307384.47,188438.71,67833.92,622.80,50489.04,,,
Cincinnati/Dayton,Weekly,"2024-01-14 00:00:00",Conventional,1.003270543,330550.71,210464.20,74902.94,740.98,44442.58,,,
Cincinnati/Dayton,Weekly,"2024-01-08 00:00:00",Conventional,0.930645353,322113.48,207534.37,64716.28,410.17,49452.66,,,
Columbus,Weekly,"2024-01-28 00:00:00",Conventional,0.918092779,267444.09,187481.83,29773.96,390.91,49797.39,,,
Columbus,Weekly,"2024-01-21 00:00:00",Conventional,0.988513040,260575.78,169286.05,40459.39,730.28,50100.06,,,
Columbus,Weekly,"2024-01-14 00:00:00",Conventional,0.972775650,271760.00,171644.67,52468.48,777.42,46869.43,,,
Columbus,Weekly,"2024-01-08 00:00:00",Conventional,0.878628576,273640.27,189514.67,28360.52,519.22,55245.87,,,
"Dallas/Ft. Worth",Weekly,"2024-01-28 00:00:00",Conventional,0.808830972,1466503.52,621802.44,281867.06,1334.26,561499.75,,,
"Dallas/Ft. Worth",Weekly,"2024-01-21 00:00:00",Conventional,0.835599421,1208225.74,565970.86,208539.54,1500.66,432214.68,,,
"Dallas/Ft. Worth",Weekly,"2024-01-14 00:00:00",Conventional,0.796765524,1801274.69,739771.55,342782.38,1869.12,716851.64,,,
"Dallas/Ft. Worth",Weekly,"2024-01-08 00:00:00",Conventional,0.813899943,1401952.02,680845.20,267059.91,1663.49,452383.43,,,
Denver,Weekly,"2024-01-28 00:00:00",Conventional,0.985364128,1047982.22,420046.57,371787.57,16809.00,239339.08,,,
Denver,Weekly,"2024-01-21 00:00:00",Conventional,1.004405415,870559.50,357113.56,266608.68,17520.80,229316.46,,,
Denver,Weekly,"2024-01-14 00:00:00",Conventional,1.071047265,1005530.92,358811.36,383794.07,17139.37,245786.12,,,
Denver,Weekly,"2024-01-08 00:00:00",Conventional,1.057563819,1001968.83,367576.23,328508.27,18142.81,287741.52,,,
Detroit,Weekly,"2024-01-28 00:00:00",Conventional,0.984669408,475483.72,283709.13,88205.25,3469.60,100099.73,,,
Detroit,Weekly,"2024-01-21 00:00:00",Conventional,1.091874115,471459.29,191935.32,167425.03,9387.79,102711.14,,,
Detroit,Weekly,"2024-01-14 00:00:00",Conventional,1.057551574,508402.28,230236.00,171165.42,10768.04,96232.82,,,
Detroit,Weekly,"2024-01-08 00:00:00",Conventional,0.940455439,435712.91,207873.35,111822.18,4050.03,111967.35,,,
"Grand Rapids",Weekly,"2024-01-28 00:00:00",Conventional,1.099455850,187138.33,70443.89,64234.52,3759.06,48700.86,,,
"Grand Rapids",Weekly,"2024-01-21 00:00:00",Conventional,1.246126913,208338.29,24478.83,124044.61,10451.33,49363.52,,,
"Grand Rapids",Weekly,"2024-01-14 00:00:00",Conventional,1.217755968,235023.25,31274.23,137261.17,11940.79,54547.04,,,
"Grand Rapids",Weekly,"2024-01-08 00:00:00",Conventional,1.100249320,173830.69,29171.19,77063.04,5233.59,62362.86,,,
"Great Lakes",Weekly,"2024-01-28 00:00:00",Conventional,0.965470648,4504746.08,2209495.72,873503.96,75278.17,1346468.23,,,
"Great Lakes",Weekly,"2024-01-21 00:00:00",Conventional,1.091494870,4027629.15,1684627.82,1332950.17,113859.65,896191.50,,,
"Great Lakes",Weekly,"2024-01-14 00:00:00",Conventional,1.059131367,4407083.68,1922032.25,1480031.51,145330.38,859689.53,,,
"Great Lakes",Weekly,"2024-01-08 00:00:00",Conventional,0.993656290,3940194.72,1890535.41,1032370.26,75621.17,941667.88,,,
Harrisburg/Scranton,Weekly,"2024-01-28 00:00:00",Conventional,1.135246676,383569.51,150967.87,109426.09,11395.63,111779.91,,,
Harrisburg/Scranton,Weekly,"2024-01-21 00:00:00",Conventional,1.139889947,381874.62,157649.16,98906.46,13258.36,112060.65,,,
Harrisburg/Scranton,Weekly,"2024-01-14 00:00:00",Conventional,1.102005192,373968.75,156885.40,103393.37,13456.74,100233.24,,,
Harrisburg/Scranton,Weekly,"2024-01-08 00:00:00",Conventional,1.109442718,414802.43,185886.70,111742.38,13191.17,103982.18,,,
Hartford/Springfield,Weekly,"2024-01-28 00:00:00",Conventional,1.293105505,417794.49,20441.69,312142.88,75.92,85134.00,,,
Hartford/Springfield,Weekly,"2024-01-21 00:00:00",Conventional,1.449064602,310281.82,14422.63,211831.81,42.71,83984.67,,,
Hartford/Springfield,Weekly,"2024-01-14 00:00:00",Conventional,1.331535356,343000.17,18356.93,244906.97,77.57,79658.70,,,
Hartford/Springfield,Weekly,"2024-01-08 00:00:00",Conventional,1.404316999,355598.06,18985.30,231154.31,29.12,105429.33,,,
Houston,Weekly,"2024-01-28 00:00:00",Conventional,0.900424618,939088.76,419578.80,274517.51,178.39,244814.06,,,
Houston,Weekly,"2024-01-21 00:00:00",Conventional,0.902979522,840241.14,394004.79,221122.11,174.23,224940.01,,,
Houston,Weekly,"2024-01-14 00:00:00",Conventional,0.877726730,1055592.82,467927.06,311308.56,245.62,276111.59,,,
Houston,Weekly,"2024-01-08 00:00:00",Conventional,0.860096156,879294.33,433974.04,232460.89,170.95,212688.46,,,
Indianapolis,Weekly,"2024-01-28 00:00:00",Conventional,0.996836200,265157.19,150492.15,58636.44,692.59,55336.00,,,
Indianapolis,Weekly,"2024-01-21 00:00:00",Conventional,1.027897224,258882.16,125277.30,78325.84,789.74,54489.28,,,
Indianapolis,Weekly,"2024-01-14 00:00:00",Conventional,0.968315701,293863.39,157011.85,85822.80,992.82,50035.91,,,
Indianapolis,Weekly,"2024-01-08 00:00:00",Conventional,0.886232780,263996.23,149159.62,59129.26,682.20,55025.15,,,
Jacksonville,Weekly,"2024-01-28 00:00:00",Conventional,0.983355447,290271.60,211116.07,2579.70,9.62,76566.21,,,
Jacksonville,Weekly,"2024-01-21 00:00:00",Conventional,0.976398033,272376.26,196489.25,3757.07,15.25,72114.69,,,
Jacksonville,Weekly,"2024-01-14 00:00:00",Conventional,1.072623853,251303.43,179284.01,4582.25,20.76,67416.41,,,
Jacksonville,Weekly,"2024-01-08 00:00:00",Conventional,0.964975094,268118.31,192104.34,2208.41,13.55,73792.00,,,
"Las Vegas",Weekly,"2024-01-28 00:00:00",Conventional,1.027540295,400956.65,170511.60,117773.44,6301.07,106370.55,,,
"Las Vegas",Weekly,"2024-01-21 00:00:00",Conventional,1.089376786,382928.31,152820.96,103420.62,7297.98,119388.75,,,
"Las Vegas",Weekly,"2024-01-14 00:00:00",Conventional,0.979091486,429902.68,153618.44,104455.65,7632.46,164196.13,,,
"Las Vegas",Weekly,"2024-01-08 00:00:00",Conventional,1.093759916,376862.31,170849.27,86434.64,8346.77,111231.63,,,
"Los Angeles",Weekly,"2024-01-28 00:00:00",Conventional,1.115402653,3034779.18,1801676.93,138746.39,418647.44,675708.42,,,
"Los Angeles",Weekly,"2024-01-21 00:00:00",Conventional,1.180337433,2856496.89,1682416.73,184515.54,304622.98,684941.65,,,
"Los Angeles",Weekly,"2024-01-14 00:00:00",Conventional,1.158858290,2947419.98,1742294.46,238848.86,304196.22,662080.44,,,
"Los Angeles",Weekly,"2024-01-08 00:00:00",Conventional,1.061726770,2996510.31,1845312.82,147211.95,280234.20,723751.34,,,
Louisville,Weekly,"2024-01-28 00:00:00",Conventional,0.934445555,145737.71,82053.01,19745.05,30.79,43908.86,,,
Louisville,Weekly,"2024-01-21 00:00:00",Conventional,0.903762704,144737.83,68029.25,32536.18,72.59,44099.80,,,
