Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Southeast,Weekly,"2024-01-08 00:00:00",Conventional,0.957079398,6051231.43,4113539.93,323490.19,2297.74,1611903.57,,,
Spokane,Weekly,"2024-01-28 00:00:00",Conventional,1.147402072,85523.26,39686.42,27166.70,87.51,18582.63,,,
Spokane,Weekly,"2024-01-21 00:00:00",Conventional,1.145007750,80259.03,39045.97,24352.83,84.94,16775.28,,,
Spokane,Weekly,"2024-01-14 00:00:00",Conventional,1.131996124,85209.49,39411.25,28271.58,30.24,17496.42,,,
Spokane,Weekly,"2024-01-08 00:00:00",Conventional,1.108065884,81369.52,40915.38,24513.90,59.64,15880.61,,,
"St. Louis",Weekly,"2024-01-28 00:00:00",Conventional,0.883717982,211807.61,141466.35,13310.86,42.27,56988.13,,,
"St. Louis",Weekly,"2024-01-21 00:00:00",Conventional,0.869991126,207771.52,145486.05,11825.97,110.95,50348.54,,,
"St. Louis",Weekly,"2024-01-14 00:00:00",Conventional,0.849085122,202285.95,133000.86,8032.10,68.66,61184.33,,,
"St. Louis",Weekly,"2024-01-08 00:00:00",Conventional,0.795197653,229526.06,165788.68,11028.65,164.15,52544.57,,,
Syracuse,Weekly,"2024-01-28 00:00:00",Conventional,1.041713391,89508.70,13968.98,34605.67,476.61,40457.43,,,
Syracuse,Weekly,"2024-01-21 00:00:00",Conventional,1.052333746,92573.80,15159.79,39307.39,464.49,37642.13,,,
Syracuse,Weekly,"2024-01-14 00:00:00",Conventional,1.028019438,87316.81,13673.42,35016.63,430.03,38196.74,,,
Syracuse,Weekly,"2024-01-08 00:00:00",Conventional,1.069650336,95954.85,14501.99,42843.59,413.74,38195.53,,,
Tampa,Weekly,"2024-01-28 00:00:00",Conventional,0.955239697,760505.37,544227.39,4342.66,74.76,211860.57,,,
Tampa,Weekly,"2024-01-21 00:00:00",Conventional,0.951013902,729178.22,507787.47,4234.18,61.68,217094.88,,,
Tampa,Weekly,"2024-01-14 00:00:00",Conventional,1.030732363,725611.78,498331.46,10765.36,183.06,216331.89,,,
Tampa,Weekly,"2024-01-08 00:00:00",Conventional,0.930191747,760300.57,548701.28,10001.85,1067.75,200529.69,,,
Toledo,Weekly,"2024-01-28 00:00:00",Conventional,0.868482004,156288.87,99515.16,29783.19,663.51,26327.01,,,
Toledo,Weekly,"2024-01-21 00:00:00",Conventional,0.974611497,144389.20,71203.53,43776.20,2011.61,27397.85,,,
Toledo,Weekly,"2024-01-14 00:00:00",Conventional,0.926325060,164359.77,83586.43,52339.49,2222.66,26211.19,,,
Toledo,Weekly,"2024-01-08 00:00:00",Conventional,0.843268163,144273.37,80712.28,27914.19,925.60,34721.30,,,
West,Weekly,"2024-01-28 00:00:00",Conventional,1.024877239,7086876.53,3316808.06,2192919.20,105766.78,1471382.48,,,
West,Weekly,"2024-01-21 00:00:00",Conventional,1.044611647,6576985.86,3099193.61,1845905.05,124421.85,1507465.35,,,
West,Weekly,"2024-01-14 00:00:00",Conventional,1.024822042,7178345.63,3144805.85,2155432.74,140073.31,1738033.73,,,
West,Weekly,"2024-01-08 00:00:00",Conventional,1.074663885,6767099.91,3167686.53,1892362.82,140547.20,1566503.35,,,
"West Tex/New Mexico",Weekly,"2024-01-28 00:00:00",Conventional,0.863043847,942191.50,527255.33,101320.59,4587.72,309027.85,,,
"West Tex/New Mexico",Weekly,"2024-01-21 00:00:00",Conventional,0.857561768,926686.23,484187.96,91590.34,5729.13,345178.80,,,
"West Tex/New Mexico",Weekly,"2024-01-14 00:00:00",Conventional,0.820582625,926736.55,459778.41,101909.03,5770.80,359278.31,,,
"West Tex/New Mexico",Weekly,"2024-01-08 00:00:00",Conventional,0.881287276,864482.63,426444.94,98769.80,6905.01,332362.88,,,
Wichita,Weekly,"2024-01-28 00:00:00",Conventional,0.964363936,110740.03,46579.36,32666.87,0.94,31492.85,,,
Wichita,Weekly,"2024-01-21 00:00:00",Conventional,0.955619074,94404.60,43970.44,23037.31,1.89,27394.95,,,
Wichita,Weekly,"2024-01-14 00:00:00",Conventional,0.902421424,112998.55,51477.72,29418.85,7.80,32094.18,,,
Wichita,Weekly,"2024-01-08 00:00:00",Conventional,0.911544930,102919.09,52430.35,23150.53,0.00,27338.21,,,
"Total U.S.",Weekly,"2024-01-28 00:00:00",Conventional,1.017525889,42244399.31,21319351.15,8870735.29,764501.41,11289811.46,,,
"Total U.S.",Weekly,"2024-01-21 00:00:00",Conventional,1.060817583,38850552.14,19624093.97,7992247.57,687058.11,10547152.48,,,
"Total U.S.",Weekly,"2024-01-14 00:00:00",Conventional,1.037015102,42160220.38,20907101.05,9216835.35,736263.69,11300020.29,,,
"Total U.S.",Weekly,"2024-01-08 00:00:00",Conventional,1.039874893,39810032.20,20191154.61,8197237.28,639281.73,10782358.59,,,
Albany,Weekly,"2024-01-28 00:00:00",Organic,1.472884308,4215.78,229.89,250.51,0.00,3735.38,,,
Albany,Weekly,"2024-01-21 00:00:00",Organic,1.501227589,3554.93,267.06,204.86,0.00,3083.02,,,
Albany,Weekly,"2024-01-14 00:00:00",Organic,1.429068534,3779.24,199.55,203.69,0.00,3375.99,,,
Albany,Weekly,"2024-01-08 00:00:00",Organic,1.501128892,4672.82,295.90,347.70,0.00,4029.22,,,
Atlanta,Weekly,"2024-01-28 00:00:00",Organic,1.061639966,78684.23,28.85,9997.50,0.00,68657.88,,,
Atlanta,Weekly,"2024-01-21 00:00:00",Organic,0.996154198,90120.37,42.42,10419.75,0.00,79658.21,,,
Atlanta,Weekly,"2024-01-14 00:00:00",Organic,1.104004100,83196.86,37.42,11863.80,0.00,71295.64,,,
Atlanta,Weekly,"2024-01-08 00:00:00",Organic,1.092155031,86292.85,155.01,12383.67,0.00,73754.17,,,
Baltimore/Washington,Weekly,"2024-01-28 00:00:00",Organic,1.592439051,62399.03,379.93,6899.68,2.32,55117.10,,,
Baltimore/Washington,Weekly,"2024-01-21 00:00:00",Organic,1.528694855,71436.73,211.06,10402.09,2.32,60821.27,,,
Baltimore/Washington,Weekly,"2024-01-14 00:00:00",Organic,1.625452440,69091.23,744.41,10174.39,0.00,58172.42,,,
Baltimore/Washington,Weekly,"2024-01-08 00:00:00",Organic,1.710906083,65036.03,315.33,11397.72,2.32,53320.66,,,
Birmingham/Montgomery,Weekly,"2024-01-28 00:00:00",Organic,0.994433080,25143.32,88.31,423.90,0.00,24631.10,,,
Birmingham/Montgomery,Weekly,"2024-01-21 00:00:00",Organic,0.953309383,26040.77,45.19,445.67,0.00,25549.91,,,
Birmingham/Montgomery,Weekly,"2024-01-14 00:00:00",Organic,1.053449292,25085.74,68.70,788.80,0.00,24228.24,,,
Birmingham/Montgomery,Weekly,"2024-01-08 00:00:00",Organic,1.035352479,24762.26,87.59,518.01,0.00,24156.67,,,
Boise,Weekly,"2024-01-28 00:00:00",Organic,1.901961183,6988.36,1234.37,2380.65,0.00,3373.35,,,
Boise,Weekly,"2024-01-21 00:00:00",Organic,1.898189858,6945.32,2314.73,1544.87,0.00,3085.73,,,
Boise,Weekly,"2024-01-14 00:00:00",Organic,1.861435293,6170.31,1378.25,1666.03,0.00,3126.03,,,
Boise,Weekly,"2024-01-08 00:00:00",Organic,1.962985752,6811.54,754.63,2805.72,0.00,3251.18,,,
Boston,Weekly,"2024-01-28 00:00:00",Organic,1.719887830,31184.63,226.55,2137.97,0.00,28820.11,,,
Boston,Weekly,"2024-01-21 00:00:00",Organic,1.708583481,35958.13,222.82,2746.35,0.00,32988.96,,,
Boston,Weekly,"2024-01-14 00:00:00",Organic,1.672798361,35580.68,288.43,2413.37,0.00,32878.88,,,
Boston,Weekly,"2024-01-08 00:00:00",Organic,1.687637161,38422.87,297.00,2550.76,0.00,35575.11,,,
Buffalo/Rochester,Weekly,"2024-01-28 00:00:00",Organic,1.533184965,13440.12,340.99,63.63,0.00,13035.50,,,
Buffalo/Rochester,Weekly,"2024-01-21 00:00:00",Organic,1.585404116,12405.54,351.92,71.73,0.00,11981.89,,,
Buffalo/Rochester,Weekly,"2024-01-14 00:00:00",Organic,1.633930642,15157.79,547.93,118.22,0.00,14491.64,,,
Buffalo/Rochester,Weekly,"2024-01-08 00:00:00",Organic,1.646001025,14147.49,654.71,123.29,0.00,13369.49,,,
California,Weekly,"2024-01-28 00:00:00",Organic,1.653550179,324725.48,130947.84,14082.28,5209.35,174486.02,,,
California,Weekly,"2024-01-21 00:00:00",Organic,1.654744714,352164.97,148623.38,14516.08,5457.04,183568.47,,,
California,Weekly,"2024-01-14 00:00:00",Organic,1.710687804,320900.09,126684.31,12363.16,5508.12,176344.51,,,
California,Weekly,"2024-01-08 00:00:00",Organic,1.733239033,322099.94,129993.64,12851.17,5338.47,173916.67,,,
Charlotte,Weekly,"2024-01-28 00:00:00",Organic,1.359920621,38360.89,523.44,2506.55,5.53,35325.37,,,
Charlotte,Weekly,"2024-01-21 00:00:00",Organic,1.425267792,32120.89,68.53,2188.06,1.11,29863.19,,,
Charlotte,Weekly,"2024-01-14 00:00:00",Organic,1.487607081,33321.41,320.28,2820.39,2.21,30178.54,,,
Charlotte,Weekly,"2024-01-08 00:00:00",Organic,1.386399903,36521.82,558.50,2222.08,8.84,33732.40,,,
Chicago,Weekly,"2024-01-28 00:00:00",Organic,1.371670343,68855.05,375.38,22250.58,0.00,46229.08,,,
Chicago,Weekly,"2024-01-21 00:00:00",Organic,1.451370547,62072.60,726.65,31635.58,0.00,29710.37,,,
Chicago,Weekly,"2024-01-14 00:00:00",Organic,1.494216749,62009.59,670.20,34114.71,0.00,27224.68,,,
Chicago,Weekly,"2024-01-08 00:00:00",Organic,1.464287877,53991.77,596.27,15623.05,0.00,37772.45,,,
Cincinnati/Dayton,Weekly,"2024-01-28 00:00:00",Organic,1.905818865,19121.42,52.64,7814.41,0.00,11254.37,,,
Cincinnati/Dayton,Weekly,"2024-01-21 00:00:00",Organic,1.920077488,19606.08,81.76,8446.20,0.00,11078.13,,,
Cincinnati/Dayton,Weekly,"2024-01-14 00:00:00",Organic,2.049279803,18747.29,50.95,8819.49,0.00,9876.85,,,
Cincinnati/Dayton,Weekly,"2024-01-08 00:00:00",Organic,2.012419101,18840.74,65.87,8322.79,0.00,10452.08,,,
Columbus,Weekly,"2024-01-28 00:00:00",Organic,1.650370764,13446.02,2312.76,2324.44,0.00,8808.82,,,
Columbus,Weekly,"2024-01-21 00:00:00",Organic,1.646815362,13799.57,2125.39,2922.61,0.00,8751.57,,,
Columbus,Weekly,"2024-01-14 00:00:00",Organic,1.662386628,13350.46,2910.23,1821.89,0.00,8618.35,,,
Columbus,Weekly,"2024-01-08 00:00:00",Organic,1.605582617,16039.06,4190.96,1659.55,0.00,10188.55,,,
"Dallas/Ft. Worth",Weekly,"2024-01-28 00:00:00",Organic,1.094854285,62451.10,17963.49,575.88,0.00,43911.73,,,
"Dallas/Ft. Worth",Weekly,"2024-01-21 00:00:00",Organic,1.130265950,55673.61,18210.54,696.14,0.00,36766.93,,,
"Dallas/Ft. Worth",Weekly,"2024-01-14 00:00:00",Organic,1.151757328,69834.14,23239.03,778.19,0.00,45816.92,,,
"Dallas/Ft. Worth",Weekly,"2024-01-08 00:00:00",Organic,1.137667857,58962.51,17191.35,752.02,0.00,41019.13,,,
Denver,Weekly,"2024-01-28 00:00:00",Organic,1.234048708,52142.80,15931.61,613.36,0.00,35597.83,,,
Denver,Weekly,"2024-01-21 00:00:00",Organic,1.200022081,60065.30,19903.24,643.84,0.00,39518.23,,,
Denver,Weekly,"2024-01-14 00:00:00",Organic,1.279079514,50570.86,22632.03,590.59,0.00,27348.25,,,
Denver,Weekly,"2024-01-08 00:00:00",Organic,1.252631544,53418.40,25608.85,693.54,0.00,27116.00,,,
Detroit,Weekly,"2024-01-28 00:00:00",Organic,1.538682269,21684.96,513.24,5148.31,0.00,16023.40,,,
Detroit,Weekly,"2024-01-21 00:00:00",Organic,1.699365114,20439.46,601.75,6026.99,0.00,13810.72,,,
Detroit,Weekly,"2024-01-14 00:00:00",Organic,1.959853220,17549.97,481.96,6759.18,0.00,10308.83,,,
Detroit,Weekly,"2024-01-08 00:00:00",Organic,1.490343186,24198.35,494.15,6342.25,0.00,17361.95,,,
"Grand Rapids",Weekly,"2024-01-28 00:00:00",Organic,1.242865930,9778.97,28.60,3542.50,0.00,6207.86,,,
"Grand Rapids",Weekly,"2024-01-21 00:00:00",Organic,1.464315674,4568.82,7.14,383.18,0.00,4178.50,,,
"Grand Rapids",Weekly,"2024-01-14 00:00:00",Organic,1.697609545,5708.21,28.10,687.45,0.00,4992.65,,,
"Grand Rapids",Weekly,"2024-01-08 00:00:00",Organic,1.018750180,9045.90,28.79,728.88,0.00,8288.22,,,
"Great Lakes",Weekly,"2024-01-28 00:00:00",Organic,1.450841164,221037.91,9969.62,53089.11,0.00,157979.18,,,
"Great Lakes",Weekly,"2024-01-21 00:00:00",Organic,1.583476879,191039.09,10969.18,62467.45,0.00,117602.46,,,
"Great Lakes",Weekly,"2024-01-14 00:00:00",Organic,1.665914234,189258.51,14846.06,63833.39,0.00,110579.06,,,
"Great Lakes",Weekly,"2024-01-08 00:00:00",Organic,1.502475409,208803.28,16018.60,44467.20,0.00,148317.48,,,
Harrisburg/Scranton,Weekly,"2024-01-28 00:00:00",Organic,0.919347363,44349.33,184.20,535.73,0.00,43629.40,,,
Harrisburg/Scranton,Weekly,"2024-01-21 00:00:00",Organic,0.946311574,41434.15,205.53,484.10,0.00,40744.51,,,
Harrisburg/Scranton,Weekly,"2024-01-14 00:00:00",Organic,0.971313610,37936.08,149.64,421.40,0.00,37365.03,,,
Harrisburg/Scranton,Weekly,"2024-01-08 00:00:00",Organic,0.933044605,44932.76,317.23,623.20,0.00,43992.33,,,
Hartford/Springfield,Weekly,"2024-01-28 00:00:00",Organic,1.817231681,16528.01,316.84,5063.37,0.00,11147.80,,,
Hartford/Springfield,Weekly,"2024-01-21 00:00:00",Organic,1.794702654,20031.15,388.20,6350.58,0.00,13292.38,,,
Hartford/Springfield,Weekly,"2024-01-14 00:00:00",Organic,1.866871563,19732.94,384.38,5940.59,0.00,13407.97,,,
Hartford/Springfield,Weekly,"2024-01-08 00:00:00",Organic,1.738845944,22384.27,430.97,7696.62,0.00,14256.67,,,
Houston,Weekly,"2024-01-28 00:00:00",Organic,1.099588281,32177.69,12932.35,100.09,0.00,19145.25,,,
Houston,Weekly,"2024-01-21 00:00:00",Organic,1.101730430,32188.79,13321.86,101.46,0.00,18765.46,,,
Houston,Weekly,"2024-01-14 00:00:00",Organic,1.106776247,35135.50,14547.73,126.65,0.00,20461.11,,,
Houston,Weekly,"2024-01-08 00:00:00",Organic,1.128543580,35324.36,16011.84,105.28,0.00,19207.24,,,
Indianapolis,Weekly,"2024-01-28 00:00:00",Organic,1.640917440,13243.29,1697.26,2242.52,0.00,9303.51,,,
Indianapolis,Weekly,"2024-01-21 00:00:00",Organic,1.778140777,11427.84,1647.55,2426.13,0.00,7354.15,,,
Indianapolis,Weekly,"2024-01-14 00:00:00",Organic,1.782859701,12997.18,3111.10,1458.39,0.00,8427.69,,,
Indianapolis,Weekly,"2024-01-08 00:00:00",Organic,1.691020937,12420.72,2192.22,1860.16,0.00,8368.34,,,
Jacksonville,Weekly,"2024-01-28 00:00:00",Organic,1.257970700,15650.32,56.48,137.64,0.00,15456.20,,,
Jacksonville,Weekly,"2024-01-21 00:00:00",Organic,1.441237846,11303.70,83.28,121.95,0.00,11098.47,,,
Jacksonville,Weekly,"2024-01-14 00:00:00",Organic,1.600119229,9890.25,55.24,171.49,0.00,9663.51,,,
Jacksonville,Weekly,"2024-01-08 00:00:00",Organic,1.458654808,13193.48,73.07,110.81,0.00,13009.60,,,
"Las Vegas",Weekly,"2024-01-28 00:00:00",Organic,1.291891682,22299.09,4933.95,3799.26,0.00,13565.87,,,
"Las Vegas",Weekly,"2024-01-21 00:00:00",Organic,1.275181396,23477.84,7283.67,3352.44,0.00,12841.73,,,
"Las Vegas",Weekly,"2024-01-14 00:00:00",Organic,1.334593931,23036.17,7381.69,4049.34,0.00,11605.15,,,
"Las Vegas",Weekly,"2024-01-08 00:00:00",Organic,1.317132709,25797.46,6450.77,4460.39,0.00,14886.31,,,
"Los Angeles",Weekly,"2024-01-28 00:00:00",Organic,1.626036005,154679.37,61984.84,6262.85,4311.67,82120.02,,,
"Los Angeles",Weekly,"2024-01-21 00:00:00",Organic,1.626966060,172692.60,75196.04,5623.37,4555.40,87317.80,,,
"Los Angeles",Weekly,"2024-01-14 00:00:00",Organic,1.623525703,159595.26,65321.96,4107.91,4590.29,85575.09,,,
"Los Angeles",Weekly,"2024-01-08 00:00:00",Organic,1.644745849,152450.68,66418.02,4328.36,4274.70,77429.60,,,
Louisville,Weekly,"2024-01-28 00:00:00",Organic,1.726390951,8920.43,344.62,2457.80,0.00,6118.00,,,
Louisville,Weekly,"2024-01-21 00:00:00",Organic,1.755274369,9666.26,1286.76,2211.74,0.00,6167.75,,,
Louisville,Weekly,"2024-01-14 00:00:00",Organic,1.775733882,9722.03,1762.92,1938.34,0.00,6020.77,,,
Louisville,Weekly,"2024-01-08 00:00:00",Organic,1.767763609,10071.97,2277.83,1481.52,0.00,6312.61,,,
"Miami/Ft. Lauderdale",Weekly,"2024-01-28 00:00:00",Organic,1.346210751,58742.58,301.88,361.20,0.00,58079.50,,,
"Miami/Ft. Lauderdale",Weekly,"2024-01-21 00:00:00",Organic,1.415000622,57903.39,319.38,361.20,0.00,57222.81,,,
"Miami/Ft. Lauderdale",Weekly,"2024-01-14 00:00:00",Organic,1.418917531,54619.54,312.08,365.40,0.00,53942.06,,,
"Miami/Ft. Lauderdale",Weekly,"2024-01-08 00:00:00",Organic,1.380493621,54411.33,310.53,325.50,0.00,53775.30,,,
Midsouth,Weekly,"2024-01-28 00:00:00",Organic,1.390573665,359825.34,6483.59,41139.88,15.86,312186.02,,,
Midsouth,Weekly,"2024-01-21 00:00:00",Organic,1.431963909,343138.97,10774.37,40879.29,4.57,291480.74,,,
Midsouth,Weekly,"2024-01-14 00:00:00",Organic,1.465643567,359923.93,18275.98,42038.96,11.21,299597.78,,,
Midsouth,Weekly,"2024-01-08 00:00:00",Organic,1.446931661,354379.36,17671.04,33192.70,16.78,303498.84,,,
Nashville,Weekly,"2024-01-28 00:00:00",Organic,1.567141502,25927.78,760.83,7461.71,0.00,17705.24,,,
Nashville,Weekly,"2024-01-21 00:00:00",Organic,1.607209072,25322.46,3117.74,5403.57,0.00,16801.16,,,
Nashville,Weekly,"2024-01-14 00:00:00",Organic,1.557159880,31377.31,6028.87,5692.48,0.00,19655.95,,,
Nashville,Weekly,"2024-01-08 00:00:00",Organic,1.634851593,23690.43,3851.75,2191.93,0.00,17646.75,,,
"Northern New England",Weekly,"2024-01-28 00:00:00",Organic,1.621093970,15055.85,2050.95,350.34,0.00,12654.56,,,
"Northern New England",Weekly,"2024-01-21 00:00:00",Organic,1.589116068,17060.92,2277.54,274.90,0.00,14508.48,,,
"Northern New England",Weekly,"2024-01-14 00:00:00",Organic,1.548853828,15107.70,1828.71,323.20,0.00,12955.78,,,
"Northern New England",Weekly,"2024-01-08 00:00:00",Organic,1.588430883,17385.82,2185.11,364.46,0.00,14836.25,,,
"New Orleans/Mobile",Weekly,"2024-01-28 00:00:00",Organic,1.087986750,17109.88,328.55,24.33,0.00,16757.00,,,
"New Orleans/Mobile",Weekly,"2024-01-21 00:00:00",Organic,1.082857997,15981.24,266.02,16.96,0.00,15698.26,,,
"New Orleans/Mobile",Weekly,"2024-01-14 00:00:00",Organic,1.104335170,14981.75,457.82,50.44,0.00,14473.49,,,
"New Orleans/Mobile",Weekly,"2024-01-08 00:00:00",Organic,1.110205551,15380.30,258.10,19.14,0.00,15103.06,,,
"New York",Weekly,"2024-01-28 00:00:00",Organic,1.181819920,164660.92,5051.86,7987.30,90.54,151531.23,,,
"New York",Weekly,"2024-01-21 00:00:00",Organic,1.253293248,174764.17,5016.00,10200.89,0.00,159547.28,,,
"New York",Weekly,"2024-01-14 00:00:00",Organic,1.315658133,150765.87,5332.10,11169.82,0.00,134263.95,,,
"New York",Weekly,"2024-01-08 00:00:00",Organic,1.260827924,156781.24,5851.31,11205.08,0.00,139724.84,,,
Northeast,Weekly,"2024-01-28 00:00:00",Organic,1.259850177,384564.95,12527.55,20312.35,91.63,351633.42,,,
Northeast,Weekly,"2024-01-21 00:00:00",Organic,1.309032673,406269.56,13124.41,25996.38,0.00,367148.77,,,
Northeast,Weekly,"2024-01-14 00:00:00",Organic,1.356928910,371671.82,12910.84,26391.65,0.00,332369.34,,,
Northeast,Weekly,"2024-01-08 00:00:00",Organic,1.325584941,398970.67,14788.15,29735.71,0.00,354446.81,,,
Orlando,Weekly,"2024-01-28 00:00:00",Organic,1.259366527,37093.87,320.06,58.14,0.00,36715.67,,,
Orlando,Weekly,"2024-01-21 00:00:00",Organic,1.351517620,32766.70,200.56,60.90,0.00,32505.24,,,
Orlando,Weekly,"2024-01-14 00:00:00",Organic,1.371617686,29890.88,289.67,72.45,0.00,29528.77,,,
Orlando,Weekly,"2024-01-08 00:00:00",Organic,1.384392683,29127.31,292.92,67.20,0.00,28767.20,,,
Peoria/Springfield,Weekly,"2024-01-28 00:00:00",Organic,1.319529724,5771.42,315.13,775.71,0.00,4680.57,,,
Peoria/Springfield,Weekly,"2024-01-21 00:00:00",Organic,1.640418624,3714.42,333.86,837.87,0.00,2542.69,,,
Peoria/Springfield,Weekly,"2024-01-14 00:00:00",Organic,1.592602828,3714.92,443.11,636.47,0.00,2635.35,,,
Peoria/Springfield,Weekly,"2024-01-08 00:00:00",Organic,1.532529019,3995.64,355.06,831.68,0.00,2808.90,,,
Philadelphia,Weekly,"2024-01-28 00:00:00",Organic,1.070286013,58458.25,1221.92,2679.65,0.00,54556.68,,,
Philadelphia,Weekly,"2024-01-21 00:00:00",Organic,1.117252643,58232.20,1256.02,3776.50,0.00,53199.68,,,
Philadelphia,Weekly,"2024-01-14 00:00:00",Organic,1.145956368,55272.25,1166.53,4255.30,0.00,49850.43,,,
Philadelphia,Weekly,"2024-01-08 00:00:00",Organic,1.145288908,58017.09,1492.25,4861.49,0.00,51663.35,,,
Phoenix/Tucson,Weekly,"2024-01-28 00:00:00",Organic,1.282971802,40373.52,7871.95,7100.65,0.00,25400.91,,,
Phoenix/Tucson,Weekly,"2024-01-21 00:00:00",Organic,1.264722716,43371.57,9330.79,6723.93,0.00,27316.86,,,
Phoenix/Tucson,Weekly,"2024-01-14 00:00:00",Organic,1.273367224,42757.07,8880.38,7268.53,0.00,26608.16,,,
Phoenix/Tucson,Weekly,"2024-01-08 00:00:00",Organic,1.339069006,44265.67,9875.64,8583.73,0.00,25806.31,,,
Pittsburgh,Weekly,"2024-01-28 00:00:00",Organic,1.378122499,5420.81,1231.34,9.55,0.00,4179.93,,,
Pittsburgh,Weekly,"2024-01-21 00:00:00",Organic,1.381656751,5450.67,1255.30,0.00,0.00,4195.37,,,
Pittsburgh,Weekly,"2024-01-14 00:00:00",Organic,1.443387236,5273.27,1481.41,4.09,0.00,3787.77,,,
Pittsburgh,Weekly,"2024-01-08 00:00:00",Organic,1.435095123,5162.19,1332.25,6.82,0.00,3823.13,,,
Plains,Weekly,"2024-01-28 00:00:00",Organic,1.384691908,90145.43,9812.96,16726.44,0.00,63606.03,,,
Plains,Weekly,"2024-01-21 00:00:00",Organic,1.238128227,78131.35,9836.15,7670.40,0.00,60624.80,,,
Plains,Weekly,"2024-01-14 00:00:00",Organic,1.247505375,77317.75,10906.88,3373.32,0.00,63037.56,,,
Plains,Weekly,"2024-01-08 00:00:00",Organic,1.279367159,75645.33,10079.43,4334.09,0.00,61231.82,,,
Portland,Weekly,"2024-01-28 00:00:00",Organic,2.082725020,35325.59,26.65,22041.71,0.00,13257.22,,,
Portland,Weekly,"2024-01-21 00:00:00",Organic,2.045664429,34456.42,10.36,22024.58,0.00,12421.48,,,
Portland,Weekly,"2024-01-14 00:00:00",Organic,2.013587246,42671.19,4.18,26827.01,1.35,15838.65,,,
Portland,Weekly,"2024-01-08 00:00:00",Organic,2.121660503,39733.00,80.79,25100.94,0.00,14551.27,,,
Providence,Weekly,"2024-01-28 00:00:00",Organic,1.597403543,3642.67,1.42,5.69,0.00,3635.56,,,
Providence,Weekly,"2024-01-21 00:00:00",Organic,1.547777346,4955.57,2.84,7.10,0.00,4945.63,,,
Providence,Weekly,"2024-01-14 00:00:00",Organic,1.538211030,5386.44,4.27,4.27,0.00,5377.90,,,
Providence,Weekly,"2024-01-08 00:00:00",Organic,1.562599019,5508.08,2.37,8.53,0.00,5497.18,,,
Raleigh/Greensboro,Weekly,"2024-01-28 00:00:00",Organic,1.283347125,46934.48,568.26,1857.52,5.32,44503.38,,,
Raleigh/Greensboro,Weekly,"2024-01-21 00:00:00",Organic,1.380066900,41020.22,324.39,2011.10,1.06,38683.67,,,
Raleigh/Greensboro,Weekly,"2024-01-14 00:00:00",Organic,1.404801404,41385.71,884.35,1890.94,8.51,38601.90,,,
Raleigh/Greensboro,Weekly,"2024-01-08 00:00:00",Organic,1.325580178,46404.18,765.82,2041.84,3.19,43593.33,,,
Richmond/Norfolk,Weekly,"2024-01-28 00:00:00",Organic,1.317823904,30514.23,888.34,2007.51,0.00,27618.38,,,
Richmond/Norfolk,Weekly,"2024-01-21 00:00:00",Organic,1.336788683,31838.77,1209.08,2618.65,0.00,28011.04,,,
Richmond/Norfolk,Weekly,"2024-01-14 00:00:00",Organic,1.339442641,32630.37,1659.38,2173.06,0.00,28797.93,,,
Richmond/Norfolk,Weekly,"2024-01-08 00:00:00",Organic,1.379860205,31164.64,2223.67,1578.84,0.00,27362.13,,,
Roanoke,Weekly,"2024-01-28 00:00:00",Organic,1.399351592,16934.10,1216.79,2370.31,0.00,13347.01,,,
Roanoke,Weekly,"2024-01-21 00:00:00",Organic,1.493455379,16582.76,1333.69,2636.18,0.00,12612.88,,,
Roanoke,Weekly,"2024-01-14 00:00:00",Organic,1.517698818,15157.18,1678.02,1666.44,0.00,11812.71,,,
Roanoke,Weekly,"2024-01-08 00:00:00",Organic,1.469397413,15788.88,2107.22,1190.61,0.00,12491.06,,,
Sacramento,Weekly,"2024-01-28 00:00:00",Organic,1.633315264,17936.07,5871.17,1287.60,0.00,10777.30,,,
Sacramento,Weekly,"2024-01-21 00:00:00",Organic,1.594248502,19513.23,6202.53,1596.06,0.00,11714.64,,,
Sacramento,Weekly,"2024-01-14 00:00:00",Organic,1.719214412,18706.11,5290.47,1446.76,0.00,11968.89,,,
Sacramento,Weekly,"2024-01-08 00:00:00",Organic,1.718437050,19236.20,5096.35,1495.17,0.00,12644.69,,,
"San Diego",Weekly,"2024-01-28 00:00:00",Organic,1.814337659,24387.07,11460.99,1212.50,382.64,11330.93,,,
"San Diego",Weekly,"2024-01-21 00:00:00",Organic,1.822133223,27152.17,13910.80,1152.17,387.18,11702.01,,,
"San Diego",Weekly,"2024-01-14 00:00:00",Organic,1.774124390,25144.04,11909.03,1283.23,396.56,11555.21,,,
"San Diego",Weekly,"2024-01-08 00:00:00",Organic,1.808601086,25395.35,11694.20,1168.79,466.54,12065.82,,,
"San Francisco",Weekly,"2024-01-28 00:00:00",Organic,1.760364757,61830.75,26613.31,2749.35,0.00,32468.09,,,
"San Francisco",Weekly,"2024-01-21 00:00:00",Organic,1.766967464,65269.62,27472.26,3241.47,0.00,34555.89,,,
"San Francisco",Weekly,"2024-01-14 00:00:00",Organic,1.960400990,58201.61,22225.01,3032.50,0.00,32944.10,,,
